[05-03-2023 15:11:31] 178.79.139.171 GET [200] /index.php 2698 (0.437 ms)
[05-03-2023 15:11:31] 178.79.139.171 GET [200] /admin.aspx 2698 (0.443 ms)
[05-03-2023 15:11:31] 178.79.139.171 GET [200] /admin.shtml 2698 (0.525 ms)
[05-03-2023 15:11:32] 178.79.139.171 GET [200] /base.pl 2698 (2.006 ms)
[05-03-2023 15:11:32] 178.79.139.171 GET [200] /home.cgi 2698 (0.452 ms)
[05-03-2023 15:11:32] 178.79.139.171 GET [200] /home.asp 2698 (0.524 ms)
[05-03-2023 15:11:32] 178.79.139.171 GET [200] /index.cfm 2698 (0.445 ms)
[05-03-2023 15:11:32] 178.79.139.171 GET [200] /inicio.shtml 2698 (0.460 ms)
[05-03-2023 15:11:32] 178.79.139.171 GET [200] /inicio.jsp 2698 (0.430 ms)
[05-03-2023 15:11:33] 178.79.139.171 GET [200] /base.php 2698 (2.093 ms)
[05-03-2023 15:11:33] 178.79.139.171 GET [200] /base.jsp 2698 (0.454 ms)
[05-03-2023 15:11:33] 178.79.139.171 GET [200] /indice.jsa 2698 (0.458 ms)
[05-03-2023 15:11:33] 178.79.139.171 GET [200] /base.jsa 2698 (0.446 ms)
[05-03-2023 15:11:33] 178.79.139.171 GET [200] /indice.aspx 2698 (0.450 ms)
[05-03-2023 15:11:33] 178.79.139.171 GET [200] /indice.pl 2698 (0.438 ms)
[05-03-2023 15:11:34] 178.79.139.171 GET [200] /base.jhtml 2698 (0.449 ms)
[05-03-2023 15:11:34] 178.79.139.171 GET [200] /default.cfm 2698 (0.436 ms)
[05-03-2023 21:23:11] 45.9.110.187 GET [200] /robots.txt - (0.538 ms)
[05-03-2023 22:40:57] 185.142.236.41 GET [200] /robots.txt 2698 (0.530 ms)
[05-03-2023 22:40:59] 185.142.236.41 GET [200] /sitemap.xml 2698 (1.665 ms)
[05-03-2023 22:41:00] 185.142.236.41 GET [200] /.well-known/security.txt 2698 (0.464 ms)
[05-03-2023 23:39:34] 35.216.225.215 GET [200] /server-status - (0.452 ms)
[05-03-2023 23:39:34] 35.216.225.215 GET [200] /config.json - (0.437 ms)
[05-03-2023 23:39:34] 35.216.225.215 GET [200] /.env - (0.506 ms)
[05-03-2023 23:39:35] 35.216.225.215 GET [200] /telescope/requests - (0.458 ms)
[05-03-2023 23:39:35] 35.216.225.215 GET [200] /info.php - (0.404 ms)
[05-03-2023 23:39:35] 35.216.225.215 GET [200] /.git/config - (0.492 ms)
